"Sweep (n)","APD","APD value (ms)","APD value (mV)"
181,"APD 20",7.74,29.2968736084732
181,"APD 50",75.36,-8.54492146913801
181,"APD 90",142.16,-59.2040987504562
182,"APD 20",9.24,28.3813463082084
182,"APD 50",73.08,-8.85009723589294
182,"APD 90",141.8,-58.8989229837013
183,"APD 20",7.76,29.2968736084732
183,"APD 50",73.54,-8.23974570238308
183,"APD 90",142.22,-58.5937472169463
184,"APD 20",8.36,28.6865220749633
184,"APD 50",73.36,-8.54492146913801
184,"APD 90",141.94,-58.5937472169463
185,"APD 20",7.34,28.9916978417182
185,"APD 50",74.1,-8.54492146913801
185,"APD 90",141.84,-58.8989229837013
