"Sweep (n)","APD","APD value (ms)","APD value (mV)"
19,"APD 20",64.6,33.6212165718052
19,"APD 50",146.6,-7.42187516589184
19,"APD 90",170.8,-61.8804945471993
20,"APD 20",64,33.6059577824017
20,"APD 50",146.8,-7.4127198922497
20,"APD 90",171.4,-62.0056166203085
21,"APD 20",63.6,33.5998542666403
21,"APD 50",146,-7.26623551397552
21,"APD 90",170.6,-61.9537367363364
22,"APD 20",62.8,33.6700446978966
22,"APD 50",145.6,-7.27233902973694
22,"APD 90",169.8,-62.0513929885192
23,"APD 20",63.6,33.5968025087596
23,"APD 50",146,-7.2875978191405
23,"APD 90",170.4,-62.1521009985827
