"Sweep (n)","APD","APD value (ms)","APD value (mV)"
84,"APD 10",10,36.2487801070984
84,"APD 20",29,22.9644780523586
84,"APD 50",92.2,-16.6625980286881
84,"APD 70",112.4,-42.9687509604264
84,"APD 90",123.2,-69.0307632617078
85,"APD 10",10,36.3555916329233
85,"APD 20",29,23.0499272730185
85,"APD 50",91.8,-16.3482669669747
85,"APD 70",112,-42.761231424538
85,"APD 90",123,-68.91174470436
86,"APD 10",9.8,36.1633308864384
86,"APD 20",27.8,22.9736333260007
86,"APD 50",91.6,-16.3482669669747
86,"APD 70",112.4,-42.8741464661243
86,"APD 90",123.6,-69.2108169766698
87,"APD 10",9.6,36.0778816657785
87,"APD 20",27.2,23.034668483615
87,"APD 50",89.2,-16.4398197033961
87,"APD 70",110,-42.7093515405659
87,"APD 90",121.6,-68.9605728304514
88,"APD 10",9.8,36.1663826443191
88,"APD 20",28.2,22.9614262944779
88,"APD 50",91.4,-16.4276126718733
88,"APD 70",112,-42.6177988041445
88,"APD 90",123.4,-69.1009536929642
