"Sweep (n)","APD","APD value (ms)","APD value (mV)"
68,"APD 20",81.4,26.9317632972843
68,"APD 50",170.2,-12.9730227509072
68,"APD 90",194.8,-66.1254897592699
69,"APD 20",79.2,26.8951422027158
69,"APD 50",170,-12.9821780245493
69,"APD 90",195.2,-66.2078872220491
70,"APD 20",77.8,26.8920904448351
70,"APD 50",168,-12.9241946248158
70,"APD 90",192.4,-66.3055434742319
71,"APD 20",76.6,26.9104009921193
71,"APD 50",167.6,-13.143921192227
71,"APD 90",192.2,-66.3604751160847
72,"APD 20",78.2,26.9042974763579
72,"APD 50",167.2,-13.0249026348793
72,"APD 90",191.4,-66.5985122307802
